,Unnamed: 0,Country,Description,Name,Points,Price,Province,Variety,Winery,Region
128,232,,,,,,,,,"['Brunello di Montalcino', nan]"
129,233,,,,,,,,,"['Vin Mousseux', nan]"
130,234,,,,,,,,,"['Columbia Valley (WA)', 'Columbia Valley']"
131,236,,,,,,,,,"['Châteauneuf-du-Pape', nan]"
132,237,,,,,,,,,"['Vino Nobile di Montepulciano', nan]"
133,238,,,,,,,,,"['Chianti Classico', nan]"
134,240,,,,,,,,,"['Ribeira Sacra', nan]"
135,241,,,,,,,,,"['Jerez', nan]"
136,244,,,,,,,,,"['Cornas', nan]"
137,247,,,,,,,,,"['Mount Veeder', 'Napa']"
138,249,,,,,,,,,"['Red Mountain', 'Columbia Valley']"
139,251,,,,,,,,,"['Chassagne-Montrachet', nan]"
140,252,,,,,,,,,"['Sancerre', nan]"
141,253,,,,,,,,,"['Coteaux du Giennois', nan]"
142,257,,,,,,,,,"['Finger Lakes', 'Finger Lakes']"
143,259,,,,,,,,,"['Maremma Toscana', nan]"
144,260,,,,,,,,,"['Mendoza', nan]"
145,261,,,,,,,,,"['Mornington Peninsula', nan]"
146,263,,,,,,,,,"['Chablis', nan]"
147,265,,,,,,,,,"['Santa Clara Valley', 'Central Coast']"
148,268,,,,,,,,,"['Eola-Amity Hills', 'Willamette Valley']"
149,269,,,,,,,,,"['Rutherford', 'Napa']"
150,270,,,,,,,,,"['St. Helena', 'Napa']"
151,272,,,,,,,,,"['Barolo', nan]"
152,276,,,,,,,,,"['Champagne', nan]"
153,282,,,,,,,,,"['Roero', nan]"
154,290,,,,,,,,,"['California', 'California Other']"
155,292,,,,,,,,,"['Prosecco', nan]"
156,293,,,,,,,,,"['Mendocino County', 'Mendocino/Lake Counties']"
157,297,,,,,,,,,"['Sonoma Valley', 'Sonoma']"
158,298,,,,,,,,,"['Buzet', nan]"
159,299,,,,,,,,,"['Côtes de Gascogne', nan]"
160,300,,,,,,,,,
161,301,,,,,,,,,
162,302,,,,,,,,,
163,303,,,,,,,,,
164,304,,,,,,,,,
165,305,,,,,,,,,
166,306,,,,,,,,,
167,307,,,,,,,,,
168,308,,,,,,,,,
169,309,,,,,,,,,
170,310,,,,,,,,,
171,311,,,,,,,,,
172,312,,,,,,,,,
173,313,,,,,,,,,
174,314,,,,,,,,,
175,315,,,,,,,,,
176,316,,,,,,,,,
177,317,,,,,,,,,
178,318,,,,,,,,,
179,319,,,,,,,,,
180,320,,,,,,,,,
181,321,,,,,,,,,
182,322,,,,,,,,,
183,323,,,,,,,,,
184,324,,,,,,,,,
185,325,,,,,,,,,
186,326,,,,,,,,,
187,327,,,,,,,,,
188,328,,,,,,,,,
189,329,,,,,,,,,
190,330,,,,,,,,,
191,331,,,,,,,,,
192,332,,,,,,,,,
193,333,,,,,,,,,
194,334,,,,,,,,,
195,335,,,,,,,,,
196,336,,,,,,,,,
197,337,,,,,,,,,
198,338,,,,,,,,,
199,339,,,,,,,,,
200,340,,,,,,,,,
201,341,,,,,,,,,
202,342,,,,,,,,,
203,343,,,,,,,,,
204,344,,,,,,,,,
205,345,,,,,,,,,
206,346,,,,,,,,,
207,347,,,,,,,,,
208,348,,,,,,,,,
209,349,,,,,,,,,
210,350,,,,,,,,,
211,351,,,,,,,,,
212,352,,,,,,,,,
213,353,,,,,,,,,
214,354,,,,,,,,,
215,355,,,,,,,,,
216,356,,,,,,,,,
217,357,,,,,,,,,
218,358,,,,,,,,,
219,359,,,,,,,,,
220,360,,,,,,,,,
221,361,,,,,,,,,
222,362,,,,,,,,,
223,363,,,,,,,,,
224,364,,,,,,,,,
225,365,,,,,,,,,
226,366,,,,,,,,,
227,367,,,,,,,,,
228,368,,,,,,,,,
229,369,,,,,,,,,
230,370,,,,,,,,,
231,371,,,,,,,,,
232,372,,,,,,,,,
233,373,,,,,,,,,
234,374,,,,,,,,,
235,375,,,,,,,,,
236,376,,,,,,,,,
237,377,,,,,,,,,
238,378,,,,,,,,,
239,379,,,,,,,,,
240,380,,,,,,,,,
241,381,,,,,,,,,
242,382,,,,,,,,,
243,383,,,,,,,,,
244,384,,,,,,,,,
245,385,,,,,,,,,
246,386,,,,,,,,,
247,387,,,,,,,,,
248,388,,,,,,,,,
249,389,,,,,,,,,
250,390,,,,,,,,,
251,391,,,,,,,,,
252,392,,,,,,,,,
253,393,,,,,,,,,
254,394,,,,,,,,,
255,395,,,,,,,,,
256,396,,,,,,,,,
257,397,,,,,,,,,
258,398,,,,,,,,,
259,399,,,,,,,,,
