,Country,Description,Name,Points,Price,Province,Variety,Winery,Region
240,,,,,,,,,"['Ribeira Sacra', 'Unfilled']"
241,,,,,,,,,"['Jerez', 'Unfilled']"
244,,,,,,,,,"['Cornas', 'Unfilled']"
247,,,,,,,,,"['Mount Veeder', 'Napa']"
249,,,,,,,,,"['Red Mountain', 'Columbia Valley']"
251,,,,,,,,,"['Chassagne-Montrachet', 'Unfilled']"
252,,,,,,,,,"['Sancerre', 'Unfilled']"
253,,,,,,,,,"['Coteaux du Giennois', 'Unfilled']"
257,,,,,,,,,"['Finger Lakes', 'Finger Lakes']"
259,,,,,,,,,"['Maremma Toscana', 'Unfilled']"
260,,,,,,,,,"['Mendoza', 'Unfilled']"
261,,,,,,,,,"['Mornington Peninsula', 'Unfilled']"
263,,,,,,,,,"['Chablis', 'Unfilled']"
265,,,,,,,,,"['Santa Clara Valley', 'Central Coast']"
268,,,,,,,,,"['Eola-Amity Hills', 'Willamette Valley']"
269,,,,,,,,,"['Rutherford', 'Napa']"
270,,,,,,,,,"['St. Helena', 'Napa']"
272,,,,,,,,,"['Barolo', 'Unfilled']"
276,,,,,,,,,"['Champagne', 'Unfilled']"
282,,,,,,,,,"['Roero', 'Unfilled']"
290,,,,,,,,,"['California', 'California Other']"
292,,,,,,,,,"['Prosecco', 'Unfilled']"
293,,,,,,,,,"['Mendocino County', 'Mendocino/Lake Counties']"
297,,,,,,,,,"['Sonoma Valley', 'Sonoma']"
298,,,,,,,,,"['Buzet', 'Unfilled']"
299,,,,,,,,,"['Côtes de Gascogne', 'Unfilled']"
300,,,,,,,,,
301,,,,,,,,,
302,,,,,,,,,
303,,,,,,,,,
304,,,,,,,,,
305,,,,,,,,,
306,,,,,,,,,
307,,,,,,,,,
308,,,,,,,,,
309,,,,,,,,,
310,,,,,,,,,
311,,,,,,,,,
312,,,,,,,,,
313,,,,,,,,,
314,,,,,,,,,
315,,,,,,,,,
316,,,,,,,,,
317,,,,,,,,,
318,,,,,,,,,
319,,,,,,,,,
320,,,,,,,,,
321,,,,,,,,,
322,,,,,,,,,
323,,,,,,,,,
324,,,,,,,,,
325,,,,,,,,,
326,,,,,,,,,
327,,,,,,,,,
328,,,,,,,,,
329,,,,,,,,,
330,,,,,,,,,
331,,,,,,,,,
332,,,,,,,,,
333,,,,,,,,,
334,,,,,,,,,
335,,,,,,,,,
336,,,,,,,,,
337,,,,,,,,,
338,,,,,,,,,
339,,,,,,,,,
340,,,,,,,,,
341,,,,,,,,,
342,,,,,,,,,
343,,,,,,,,,
344,,,,,,,,,
345,,,,,,,,,
346,,,,,,,,,
347,,,,,,,,,
348,,,,,,,,,
349,,,,,,,,,
350,,,,,,,,,
351,,,,,,,,,
352,,,,,,,,,
353,,,,,,,,,
354,,,,,,,,,
355,,,,,,,,,
356,,,,,,,,,
357,,,,,,,,,
358,,,,,,,,,
359,,,,,,,,,
360,,,,,,,,,
361,,,,,,,,,
362,,,,,,,,,
363,,,,,,,,,
364,,,,,,,,,
365,,,,,,,,,
366,,,,,,,,,
367,,,,,,,,,
368,,,,,,,,,
369,,,,,,,,,
370,,,,,,,,,
371,,,,,,,,,
372,,,,,,,,,
373,,,,,,,,,
374,,,,,,,,,
375,,,,,,,,,
376,,,,,,,,,
377,,,,,,,,,
378,,,,,,,,,
379,,,,,,,,,
380,,,,,,,,,
381,,,,,,,,,
382,,,,,,,,,
383,,,,,,,,,
384,,,,,,,,,
385,,,,,,,,,
386,,,,,,,,,
387,,,,,,,,,
388,,,,,,,,,
389,,,,,,,,,
390,,,,,,,,,
391,,,,,,,,,
392,,,,,,,,,
393,,,,,,,,,
394,,,,,,,,,
395,,,,,,,,,
396,,,,,,,,,
397,,,,,,,,,
398,,,,,,,,,
399,,,,,,,,,
